date,WorkingDays,LeapYear
1995-01-01,6.0666905063529,-0.249999999999996
1995-04-01,-0.566690506352904,0.000000000000021316282072803
1995-07-01,-2.5,-0.0000000000000106581410364015
1995-10-01,0.499999999999999,0.000000000000014210854715202
1996-01-01,0.066690506352904,0.750000000000004
1996-04-01,-0.566690506352903,0.000000000000021316282072803
1996-07-01,1,-0.0000000000000106581410364015
1996-10-01,-3,0.000000000000014210854715202
1997-01-01,-7.22218248941182,-0.249999999999996
1997-04-01,2.22218248941183,0.000000000000021316282072803
1997-07-01,1,-0.0000000000000106581410364015
1997-10-01,-3,0.000000000000014210854715202
1998-01-01,-0.222182489411826,-0.249999999999996
1998-04-01,-4.77781751058817,0.000000000000021316282072803
1998-07-01,1,-0.0000000000000106581410364015
1998-10-01,0.499999999999999,0.000000000000014210854715202
1999-01-01,-0.222182489411826,-0.249999999999996
1999-04-01,-1.27781751058817,0.000000000000021316282072803
1999-07-01,1,-0.0000000000000106581410364015
1999-10-01,4,0.000000000000014210854715202
2000-01-01,4.27781751058817,0.750000000000004
2000-04-01,-1.27781751058817,0.000000000000021316282072803
2000-07-01,-2.5,-0.0000000000000106581410364015
2000-10-01,0.499999999999999,0.000000000000014210854715202
2001-01-01,3.27781751058817,-0.249999999999996
2001-04-01,2.22218248941183,0.000000000000021316282072803
2001-07-01,-2.5,-0.0000000000000106581410364015
2001-10-01,0.499999999999999,0.000000000000014210854715202
2002-01-01,-3.72218248941183,-0.249999999999996
2002-04-01,4.72218248941183,0.0000000000000248689957516035
2002-07-01,1,-0.0000000000000106581410364015
2002-10-01,-3,0.000000000000014210854715202
2003-01-01,-0.222182489411826,-0.249999999999996
2003-04-01,-2.27781751058817,0.0000000000000248689957516035
2003-07-01,1,-0.0000000000000106581410364015
2003-10-01,-3,0.000000000000014210854715202
2004-01-01,0.777817510588174,0.750000000000004
2004-04-01,-2.27781751058817,0.0000000000000248689957516035
2004-07-01,1,-0.0000000000000106581410364015
2004-10-01,4,0.000000000000014210854715202
2005-01-01,-3.72218248941183,-0.249999999999996
2005-04-01,4.72218248941183,0.0000000000000248689957516035
2005-07-01,1,-0.0000000000000106581410364015
2005-10-01,0.499999999999999,0.000000000000014210854715202
2006-01-01,6.77781751058817,-0.249999999999996
2006-04-01,-2.27781751058817,0.0000000000000248689957516035
2006-07-01,-2.5,-0.0000000000000106581410364015
2006-10-01,0.499999999999999,0.000000000000014210854715202
2007-01-01,3.27781751058817,-0.249999999999996
2007-04-01,1.22218248941183,0.0000000000000248689957516035
2007-07-01,-2.5,-0.0000000000000106581410364015
2007-10-01,-3,-0.0000000000000106581410364015
2008-01-01,-6.22218248941182,0.750000000000004
2008-04-01,2.22218248941182,0.0000000000000248689957516035
2008-07-01,1,-0.0000000000000106581410364015
2008-10-01,-3,-0.0000000000000106581410364015
2009-01-01,-0.222182489411826,-0.249999999999996
2009-04-01,-4.77781751058818,0.0000000000000248689957516035
2009-07-01,1,-0.0000000000000106581410364015
2009-10-01,0.499999999999999,-0.0000000000000106581410364015
2010-01-01,-0.222182489411826,-0.249999999999996
2010-04-01,-1.27781751058818,0.0000000000000248689957516035
2010-07-01,1,-0.0000000000000106581410364015
2010-10-01,4,-0.0000000000000106581410364015
2011-01-01,3.27781751058817,-0.249999999999996
2011-04-01,-1.27781751058818,0.0000000000000248689957516035
2011-07-01,1,-0.0000000000000106581410364015
2011-10-01,4,-0.0000000000000106581410364015
2012-01-01,4.27781751058817,0.750000000000004
2012-04-01,2.22218248941182,0.0000000000000248689957516035
2012-07-01,-2.5,-0.0000000000000106581410364015
2012-10-01,-3,-0.0000000000000106581410364015
2013-01-01,-3.72218248941183,-0.249999999999996
2013-04-01,2.22218248941182,0.0000000000000248689957516035
2013-07-01,1,-0.0000000000000106581410364015
2013-10-01,-3,-0.0000000000000106581410364015
2014-01-01,-0.222182489411826,-0.249999999999996
2014-04-01,-4.77781751058818,0.0000000000000248689957516035
2014-07-01,1,-0.0000000000000106581410364015
2014-10-01,-3,-0.0000000000000106581410364015
2015-01-01,-0.222182489411826,-0.249999999999996
2015-04-01,-4.77781751058818,0.0000000000000248689957516035
2015-07-01,1,-0.0000000000000106581410364015
2015-10-01,0.499999999999999,-0.0000000000000106581410364015
2016-01-01,-6.22218248941183,0.750000000000004
2016-04-01,5.72218248941182,0.0000000000000248689957516035
2016-07-01,1,-0.0000000000000106581410364015
2016-10-01,4,-0.0000000000000106581410364015
2017-01-01,6.77781751058817,-0.249999999999996
2017-04-01,-1.27781751058818,0.0000000000000248689957516035
2017-07-01,-2.5,-0.0000000000000106581410364015
2017-10-01,0.499999999999999,-0.0000000000000106581410364015
2018-01-01,-0.222182489411826,-0.249999999999996
2018-04-01,5.72218248941182,0.0000000000000248689957516035
2018-07-01,-9.5,-0.0000000000000106581410364015
2018-10-01,-3,-0.0000000000000106581410364015
2019-01-01,-0.222182489411826,-0.249999999999996
2019-04-01,-1.27781751058818,0.0000000000000248689957516035
2019-07-01,1,-0.0000000000000106581410364015
2019-10-01,-3,-0.0000000000000106581410364015
2020-01-01,0.777817510588174,0.750000000000004
2020-04-01,-4.77781751058818,0.0000000000000248689957516035
2020-07-01,1,-0.0000000000000106581410364015
2020-10-01,0.499999999999999,-0.0000000000000106581410364015
2021-01-01,-0.222182489411826,-0.249999999999996
2021-04-01,-1.27781751058818,0.0000000000000248689957516035
2021-07-01,1,-0.0000000000000106581410364015
2021-10-01,4,-0.0000000000000106581410364015
2022-01-01,3.27781751058817,-0.249999999999996
2022-04-01,-1.27781751058818,0.0000000000000248689957516035
2022-07-01,1,-0.0000000000000106581410364015
2022-10-01,4,-0.0000000000000106581410364015
2023-01-01,6.77781751058817,-0.249999999999996
2023-04-01,-1.27781751058818,0.0000000000000248689957516035
2023-07-01,-6,-0.0000000000000106581410364015
2023-10-01,0.499999999999999,-0.0000000000000106581410364015
2024-01-01,-2.72218248941183,0.750000000000004
2024-04-01,2.22218248941182,0.0000000000000248689957516035
2024-07-01,1,-0.0000000000000106581410364015
2024-10-01,-3,-0.0000000000000106581410364015
2025-01-01,-0.222182489411826,-0.249999999999996
2025-04-01,-4.77781751058818,0.0000000000000248689957516035
2025-07-01,1,-0.0000000000000106581410364015
2025-10-01,-3,-0.0000000000000106581410364015
2026-01-01,-0.222182489411826,-0.249999999999996
2026-04-01,-4.77781751058818,0.0000000000000248689957516035
2026-07-01,1,-0.0000000000000106581410364015
2026-10-01,0.499999999999999,-0.0000000000000106581410364015
2027-01-01,-7.22218248941183,-0.249999999999996
2027-04-01,5.72218248941182,0.0000000000000248689957516035
2027-07-01,1,-0.0000000000000106581410364015
2027-10-01,4,-0.0000000000000106581410364015
